Cota;Afluencia;Defluencia;VazaoNatural;VazaoIncremental;VolumeUtil
735,86;0;89,43;16,8;0;89,43
735,76;0;88,05;19,03;0;88,05
735,78;0;88,33;20,19;0;88,33
735,84;0;89,16;19,73;0;89,16
735,84;0;89,16;15,01;0;89,16
735,82;0;88,88;14,61;0;88,88
735,82;0;88,88;10,27;0;88,88
735,79;0;88,47;12,48;0;88,47
735,78;0;88,33;15,29;0;88,33
735,75;0;87,92;24,86;0;87,92
735,71;0;87,37;39,25;0;87,37
735,66;0;86,68;52,54;0;86,68
735,63;0;86,26;49,23;0;86,26
735,61;45,1;85,99;45,52;45,52;85,99
735,58;15,8;85,58;16,21;16,21;85,58
735,54;24,5;85,03;24,91;24,91;85,03
735,5;32,4;14;32,8;32,8;84,48
735,46;74;14;74,4;74,4;83,93
735,42;48,6;14;49;49;83,38
735,38;64,9;14;65,29;65,29;82,84
735,35;52,2;14;52,58;52,58;82,43
735,41;16,8;14;17,17;17,17;83,25
735,4;15,2;14;15,57;15,57;83,11
735,39;36,4;14;36,76;36,76;82,97
735,35;37,1;14;37,46;37,46;82,43
735,31;39,7;14;40,05;40,05;81,88
735,27;55,2;14;55,55;55,55;81,34
735,23;25,7;14;26,04;26,04;80,79
735,2;12,6;14;12,93;12,93;80,38
735,16;36,4;14;36,73;36,73;79,84
735,21;50,9;14;51,22;51,22;80,52
735,17;62,6;14;62,92;62,92;79,97
735,13;46;14;46,31;46,31;79,43
735,34;107,8;14;108,11;108,11;82,29
735,4;93,6;14;93,91;93,91;83,11
735,74;129,3;14;129,61;129,61;87,78
735,82;107,6;14;107,91;107,91;88,88
735,82;91;14;91,3;91,3;88,88
735,85;74,9;14;75,2;75,2;89,3
735,81;99,9;14;100,2;100,2;88,74
735,79;75,6;14;75,9;75,9;88,47
735,77;50,3;14;50,6;50,6;88,19
735,75;71,3;14;71,6;71,6;87,92
735,73;74,3;14;74,6;74,6;87,64
735,69;78,8;14;79,09;79,09;87,09
735,65;52,8;14;53,1;53,1;86,54
735,61;79,3;14;79,6;79,6;85,99
735,58;62,7;14;63;63;85,58
735,66;37,4;14;37,71;37,71;86,68
735,65;34,4;14;34,71;34,71;86,54
735,64;19,8;14;20,11;20,11;86,4
735,61;38,6;14;38,91;38,91;85,99
735,68;29,5;14;29,82;29,82;86,95
735,73;26,97;14;27,29;27,29;87,64
735,73;26,2;14;26,53;26,53;87,64
735,71;41,2;14;41,54;41,54;87,37
735,7;48,4;14;48,74;48,74;87,23
735,69;45;14;45,35;45,35;87,09
735,68;33,5;14;33,86;33,86;86,95
735,65;20,4;14;20,77;20,77;86,54
735,62;19,26;14;19,63;19,63;86,13
735,58;17,1;14;17,48;17,48;85,58
735,57;22,3;14;22,69;22,69;85,44
735,58;42;14;42,4;42,4;85,58
735,54;16,9;14;17,3;17,3;85,03
735,5;17,2;14;17,61;17,61;84,48
735,47;18,84;14;19,26;19,26;84,07
735,5;18,78;14;19,21;19,21;84,48
735,51;19,73;14;20,17;20,17;84,62
735,51;16,6;14;17,05;17,05;84,62
735,67;65,9;14;66,36;66,36;86,82
735,65;41,8;14;42,27;42,27;86,54
735,71;30,1;14;30,58;30,58;87,37
735,69;57;14;57,48;57,48;87,09
735,65;45,1;14;45,59;45,59;86,54
735,63;31,3;14;31,8;31,8;86,26
735,67;25,13;14;25,64;25,64;86,82
735,68;21,42;14;21,93;21,93;86,95
735,65;22;14;22,52;22,52;86,54
735,71;21,38;14;21,9;21,9;87,37
735,72;21;14;21,53;21,53;87,5
735,68;22,26;14;22,79;22,79;86,95
735,65;20,68;14;21,22;21,22;86,54
735,65;15,4;14;15,95;15,95;86,54
735,66;13,14;14;13,69;13,69;86,68
735,64;14,86;14;15,41;15,41;86,4
735,63;15,44;14;16;16;86,26
735,67;15,42;14;15,99;15,99;86,82
735,68;16,42;14;16,99;16,99;86,95
735,69;16,98;14;17,55;17,55;87,09
735,69;14,56;14;15,14;15,14;87,09
735,69;14;14;14,58;14,58;87,09
735,69;13,28;14;13,87;13,87;87,09
735,69;13,48;14;14,07;14,07;87,09
735,69;14,02;14;14,62;14,62;87,09
735,69;14;14;14,6;14,6;87,09
735,7;14,5;14;15,1;15,1;87,23
735,7;13,3;14;13,91;13,91;87,23
